,Ephys t-SNE x,Ephys t-SNE y,Morph t-SNE x,Moprh t-SNE y,Morphoelectric t-SNE x,Morphoelectric t-SNE y
20180717_sample_7,39.94,11.09,41.01,11.88,31.91,12.98
20180718_sample_2,-38.26,6.06,,,,
20180718_sample_3,-36.85,5.32,,,,
20180718_sample_4,-41.61,5.54,,,,
20180719_sample_1,-38.8,3.81,-12.94,-13.73,-31.38,5.83
20180719_sample_4,-42.5,-2.34,,,,
20180720_sample_2,54.46,2.1,,,,
20180720_sample_3,-45.37,-7.92,,,,
20180720_sample_5,1.21,-18.0,-10.56,-11.56,-14.56,3.18
20180725_sample_3,42.72,-22.33,34.08,-14.42,29.77,-17.11
20180725_sample_4,33.17,-25.2,,,,
20180725_sample_6,-38.18,-22.98,,,,
20180725_sample_7,36.37,-20.1,,,,
20180725_sample_9,-2.05,-18.52,-6.55,13.78,-9.68,28.78
20180726_sample_3,-36.41,-18.55,,,,
20180726_sample_4,-52.83,2.27,,,,
20180726_sample_5,-53.44,-0.13,,,,
20180726_sample_6,-52.08,1.1,,,,
20180726_sample_7,-53.1,-5.53,,,,
20180817_sample_2,-45.09,-20.41,-15.27,-8.08,-29.07,1.52
20180817_sample_3,-40.9,-25.26,-20.31,-3.29,-37.4,-3.78
20180817_sample_4,-40.05,2.24,-24.92,-11.22,-29.69,-2.38
20180817_sample_5,-50.2,-3.99,,,,
20180817_sample_6,34.48,-15.2,35.68,4.38,29.71,4.64
20180817_sample_7,-39.46,-12.94,,,,
20180820_sample_1,-20.91,28.95,,,,
20180820_sample_2,48.74,-10.19,19.18,4.95,23.27,-4.52
20180820_sample_3,-5.76,35.29,,,,
20180820_sample_4,-8.59,26.54,-19.66,-9.89,-15.04,13.72
20180820_sample_5,-18.17,-4.48,-8.27,11.82,-6.39,29.32
20180820_sample_6,49.18,-11.81,33.67,-15.59,27.02,-19.2
20180820_sample_7,-30.07,-22.4,-16.46,-8.94,-25.93,4.84
20180822_sample_1,-33.7,-20.78,-20.23,-17.73,-36.4,2.24
20180822_sample_2,-35.87,5.32,-26.87,-8.68,-27.21,-4.73
20180822_sample_3,-40.86,-25.44,-18.89,-4.02,-37.62,-3.67
20180822_sample_4,-42.61,4.77,-24.23,-7.91,-29.34,-3.71
20180822_sample_6,-41.96,7.61,-20.08,-4.46,-36.77,-6.75
20180822_sample_7,-38.22,-16.94,-18.98,-3.7,-35.21,-5.56
20180828_sample_2,-22.19,-3.26,-16.57,-7.51,-33.77,4.34
20180828_sample_3,-48.81,0.16,-17.8,-14.91,-33.85,0.78
20180828_sample_4,42.97,-22.28,37.72,-14.41,29.03,-19.15
